100
1,gcp1,43.597871,14.055549,0.506425
2,gcp2,1.847085,11.912829,0.882324
3,gcp3,49.410241,11.526964,0.660846
4,gcp4,27.851743,4.498891,17.229402
5,gcp5,30.809817,14.262223,17.118243
6,gcp6,0.569785,0.880000,17.110635
7,gcp7,27.301442,1.523412,16.286675
8,gcp8,4.111804,46.357874,16.622197
9,gcp9,30.453993,16.913318,17.082067
10,gcp10,20.784089,48.437030,17.534024
11,gcp11,4.072775,4.441783,18.403233
12,gcp12,49.344867,47.291614,18.048715
13,gcp13,5.175985,16.957324,17.974316
14,gcp14,22.613620,6.382861,17.899251
15,gcp15,13.927873,9.067806,17.456939
16,gcp16,31.189869,28.614408,16.996461
17,gcp17,8.956350,10.265750,17.709411
18,gcp18,36.806453,40.971459,18.056871
19,gcp19,29.586607,25.938871,17.439757
20,gcp20,40.305926,28.793720,18.301692
21,gcp21,49.677578,45.156446,18.411303
22,gcp22,10.085566,19.178874,18.925348
23,gcp23,2.246159,31.823285,18.984796
24,gcp24,24.128688,10.994838,19.925225
25,gcp25,33.232547,8.552773,19.511520
26,gcp26,45.571872,35.672261,18.848882
27,gcp27,11.476250,12.486666,19.600205
28,gcp28,40.190720,11.811163,19.288413
29,gcp29,0.941104,30.840826,19.708741
30,gcp30,16.129909,34.778023,19.484901
31,gcp31,28.469982,11.095940,19.078019
32,gcp32,23.943265,49.645120,19.050226
33,gcp33,39.419890,38.838064,18.270779
34,gcp34,9.279880,34.101134,18.923289
35,gcp35,47.320519,16.681059,18.289393
36,gcp36,17.949073,9.496448,19.179129
37,gcp37,46.328868,47.600951,19.902744
38,gcp38,18.874382,35.345640,19.370607
39,gcp39,28.557396,37.055634,19.389154
40,gcp40,15.246067,1.389314,18.806577
41,gcp41,2.071502,31.096078,19.799645
42,gcp42,9.957499,44.858117,20.426872
43,gcp43,34.309579,24.275012,20.246185
44,gcp44,26.431729,4.581075,20.902060
45,gcp45,13.040517,29.774412,21.836696
46,gcp46,3.877202,12.782110,22.730351
47,gcp47,26.512896,17.674575,21.819287
48,gcp48,25.837831,0.440045,22.587161
49,gcp49,6.605346,0.602539,22.902838
50,gcp50,33.320200,15.718829,22.508841
51,gcp51,37.986298,30.128416,22.808056
52,gcp52,17.886697,11.832865,23.223046
53,gcp53,6.354359,15.460283,23.179316
54,gcp54,49.596335,11.767173,24.132728
55,gcp55,46.421433,16.647751,23.553167
56,gcp56,47.661895,45.772232,23.398573
57,gcp57,27.464382,13.215402,22.540226
58,gcp58,21.563021,26.843094,22.711924
59,gcp59,23.705767,21.874930,21.998866
60,gcp60,21.622365,0.417680,21.645782
61,gcp61,12.448339,45.702713,22.162336
62,gcp62,35.875992,11.139399,21.627981
63,gcp63,41.845016,38.540448,20.688939
64,gcp64,21.134142,19.710436,20.969986
65,gcp65,32.280653,43.482168,21.386440
66,gcp66,15.729812,0.913443,20.793485
67,gcp67,4.884129,19.865045,21.081628
68,gcp68,33.567559,20.061197,21.995251
69,gcp69,5.619976,11.872311,22.616304
70,gcp70,39.349482,31.790938,22.762160
71,gcp71,44.084891,38.561630,22.603830
72,gcp72,36.091217,13.434187,23.326343
73,gcp73,28.261611,26.893294,23.616846
74,gcp74,16.476068,21.311458,24.176868
75,gcp75,42.272607,19.398996,24.437837
76,gcp76,10.763553,26.510039,25.217368
77,gcp77,1.983605,7.303600,25.103192
78,gcp78,39.894269,22.333052,26.063781
79,gcp79,38.244713,21.215427,25.513572
80,gcp80,13.379160,39.132163,25.269120
81,gcp81,2.099321,0.785340,25.667866
82,gcp82,20.454791,26.833773,25.136806
83,gcp83,46.189944,27.181797,24.753449
84,gcp84,17.977603,29.982187,23.931327
85,gcp85,46.817118,3.264673,24.874438
86,gcp86,44.784476,2.405411,25.212381
87,gcp87,35.185281,46.760428,25.256217
88,gcp88,27.975309,8.441347,25.388934
89,gcp89,34.961741,8.127372,25.696148
90,gcp90,22.670284,35.720537,25.707483
91,gcp91,28.471480,0.706812,26.315363
92,gcp92,11.406986,10.086607,25.658771
93,gcp93,10.231886,25.738913,26.359515
94,gcp94,17.232949,30.152802,27.104197
95,gcp95,35.898978,4.619000,27.282614
96,gcp96,18.234355,49.176951,28.131386
97,gcp97,46.464624,30.887663,28.472465
98,gcp98,13.167013,11.207111,30.104897
99,gcp99,10.860381,20.802974,30.861013
100,gcp100,8.476446,16.663123,30.625336
